name,category,code,image_url,brand,inventory,market_price,price,maker,country_of_origin,delivery_method,delivery_fee,sub_category,condition,option,option_price,description
[백화농원]흑매화 상감도자기 토종꿀,183,16-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-03.jpg,백화농원,999,50000,47100,백화농원,한국,101,0,2,100,,,2kg
[한국양봉]청밀 벌꿀세트,183,16-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-04.jpg,한국양봉농협,999,28000,26500,한국양봉농협,한국,101,0,2,100,,,"아카시아꿀 500g, 잡화꿀 500g"
[한국양봉]도자기 생꿀1호,183,16-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-05.jpg,한국양봉농협,999,53000,48900,한국양봉농협,한국,101,0,2,100,,,1kg
[한국양봉]도자기 생꿀2호,183,16-05-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-05-01.jpg,한국양봉농협,999,66000,61200,한국양봉농협,한국,101,0,2,100,,,2kg
[안성맞춤농협]안성쌀,183,16-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-06.jpg,안성마춤농협조합,999,38000,36200,안성마춤농협조합,한국,101,0,2,100,,,10kg
[안성맞춤농협]안성쌀,183,16-06-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-06-01.jpg,안성마춤농협조합,999,70000,67800,안성마춤농협조합,한국,101,0,2,100,,,20kg
[왕실옥미]경기미,183,16-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-07.jpg,바로농산㈜,999,32000,28900,바로농산㈜,한국,101,0,2,100,,,10kg
[왕실옥미]경기미,183,16-07-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-07-01.jpg,바로농산㈜,999,57000,52300,바로농산㈜,한국,101,0,2,100,,,20kg
[석문농협]해뜰마루쌀,183,16-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-08.jpg,석문농업협동조합 미곡종합처리장,999,17000,16200,석문농업협동조합 미곡종합처리장,한국,101,0,2,100,,,4kg
[석문농협]해뜰마루쌀,183,16-08-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-08-01.jpg,석문농업협동조합 미곡종합처리장,999,31000,29800,석문농업협동조합 미곡종합처리장,한국,101,0,2,100,,,10kg
[석문농협]해뜰마루쌀,183,16-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-08.jpg,석문농업협동조합 미곡종합처리장,999,59000,56700,석문농업협동조합 미곡종합처리장,한국,101,0,2,100,,,20kg
[곡성농협] 맑은햇쌀(2012 햅쌀),183,16-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-09.jpg,곡성농협,999,21000,20000,곡성농협,한국,101,0,2,100,,,5kg
[곡성농협] 맑은햇쌀(2012 햅쌀),183,16-09-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-09-01.jpg,곡성농협,999,37000,35600,곡성농협,한국,101,0,2,100,,,10kg
