상품명,카테고리 코드,업체상품관리코드,상품이미지URL,브랜드명,재고수량,시장가격,판매가격,제조사명,생산지명,배송방법,배송비,과/2구분,상품상태,옵션,옵션가격,상품설명
[유니레버]감동7호A,560,29-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//29-09.jpg,유니레버코리아,999,33500,32800,유니레버코리아,한국,102,3000,1,100,,,"샴푸 200g×3, 린스 200ml, 바디워시 200g×2, 클로즈업치약 100g×4, 도브바 100g, 럭스바 85g×4,  바세린 로션 60ml"
[애경]사랑1호,560,30-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-01.jpg,애경산업㈜,999,10800,10500,애경산업㈜,한국,102,3000,1,100,,,"케라시스 데미지클리닉샴푸 180ml, 케라시스 모이스춰클리닉샴푸 180ml, 샤워메이트 러블리로즈&체리블로섬 바디워시 180ml, 2080 오리지날알파블루치약 90g×2, 2080 오리지날 알파레드치약 90g×2, 2080 패밀리케어치약 90g×2"
[애경]사랑2호,560,30-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-02.jpg,애경산업㈜,999,15000,14700,애경산업㈜,한국,102,3000,1,100,,,"케라시스 살롱케어샴푸 180ml, 케라시스 살롱케어린스 180ml, 샤워메이트 러블리로즈&체리블로섬바디워시 180ml, 2080 알파레드치약 90g×2, 2080 패밀리케어치약 90g×4, 동의청은차 진치약 90g, 포인트 베리&요거트비누 80g×2"
[애경]사랑4호,560,30-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-03.jpg,애경산업㈜,999,20500,19800,애경산업㈜,한국,102,3000,1,100,,,"케라시스 살롱케어샴푸 180ml, 케라시스 살롱케어린스 180ml, 포인트 릴리&그린허브티바디워시 180g, 포인트 데이지&캐모마일바디워시 180g, 2080 오리지날알파블루치약 90g×2, 2080 오리지날알파레드치약 90g×2, 2080 프레쉬그린민트치약 90g×2, 
동의청은차 진치약 90g×2, 포인트 릴리&그린허브티비누 80g, 포인트 데이지&캐모마일비누 80g "
[애경]사랑5호,560,30-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-04.jpg,애경산업㈜,999,24000,22900,애경산업㈜,한국,102,3000,1,100,,,"케라시스 살롱케어극손상샴푸 180ml, 케라시스 살롱케어극손상린스 180ml, 케라시스 살롱케어샴푸 180ml, 케라시스 살롱케어린스 180ml, 포인트 데이지&캐모마일바디워시 180g, 2080 프로크리닉치약 90g×2, 
2080 프로마일드치약 90g×2, 동의청은차 진치약 90g×2, 동의청은차 류치약 90g×2, 포인트 데이지&캐모마일 비누 80g"
[애경]사랑8호,560,30-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-05.jpg,애경산업㈜,999,37000,36300,애경산업㈜,한국,102,3000,1,100,,,"케라시스 살롱케어극손상샴푸 200ml, 케라시스 살롱케어극손상린스 200ml, 케라시스 살롱케어 텍스춰라이저트리트먼트 100ml, 케라시스 살롱케어샴푸 200ml, 케라시스 살롱케어린스 200ml, 포인트 릴리&그린허브티바디워시 180g, 포인트 데이지&캐모마일바디워시 180g, 2080 프로크리닉치약 90g×2, 
2080 프로맥스치약 90g×2, 동의청은차 진치약 90g×2, 동의청은차 징코치약 90g×2, 포인트 릴리&그린허브티비누 80g, 포인트 데이지&캐모마일비누 80g"
[애경]존경2호,560,30-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-06.jpg,애경산업㈜,999,31000,30400,애경산업㈜,한국,102,3000,1,100,,,"케라시스 살롱케어샴푸 470ml, 케라시스 살롱케어린스 470ml, 케라시스 살롱케어극손상샴푸 180ml, 포인트 릴리&그린허브티바디워시 180g, 2080 오리지날알파블루치약 90g, 2080 오리지날알파레드치약 90g, 2080 프레쉬그린민트치약 90g, 동의청은차 진치약 90g, 2080 프로마일드치약 90g, 2080 프로크리닉치약 90g, 2080 프로맥스치약 90g, 포인트 릴리&그린허브티비누 80g, 포인트 데이지&캐모마일비누 80g, 순샘 리얼허브녹차 500g, 리큐 진한겔 300ml"
[애경]존경3호,560,30-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-07.jpg,애경산업㈜,999,49000,47500,애경산업㈜,한국,102,3000,1,100,,,"케라시스 살롱케어샴푸 470ml, 케라시스 살롱케어린스 470ml, 케라시스 살롱케어극손상샴푸 180ml×2, 샤워메이트 러블리로즈&체리블로섬바디워시 550ml, 2080 프로마일드치약 90g, 2080 프로크리닉치약 90g, 2080 프로맥스치약 90g, 동의청은차 진치약 90g, 동의청은차 류치약 90g, 동의청은차 징코치약 90g, 2080 프로크리닉칫솔×2, 포인트 베리&요거트비누 80g×2, 포인트 릴리&그린허브티비누 80g, 포인트 데이지&캐모마일비누 80g, 리큐 2배진한겔 1L, 순샘 리얼허브녹차 500g"
[애경]프로치약세트,560,30-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-08.jpg,애경산업㈜,999,10500,10200,애경산업㈜,한국,102,3000,1,100,,,"2080 프로 마일드치약 90g×2, 2080 프로 크리닉치약 90g×2, 2080 프로 맥스치약 90g×4"
[애경]오리엔탈세트,560,30-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//30-09.jpg,애경산업㈜,999,31000,30100,애경산업㈜,한국,102,3000,1,100,,,"케라시스 오리엔탈샴푸 470ml, 케라시스 오리엔탈린스 470ml, 케라시스 오리엔탈샴푸 200ml, 케라시스 오리엔탈린스 200ml, 케라시스 오리엔탈트리트먼트 100ml, 케라시스 오리엔탈비누 100g"
[아모레]고운2호,560,31-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-01.jpg,아모레퍼시픽,999,11700,11400,아모레퍼시픽,한국,102,3000,1,100,,,"미쟝센 데미지케어극손상샴푸 200ml, 미쟝센 데미지케어극손상린스 200ml, 해피바스 로즈에센스로맨틱바디워시 200g, 두보레후리지아비누 80g×2, 메디안 후레쉬포레스트치약 90g×3, 메디안 후레쉬마린치약 90g×4"
[아모레]다화5호,560,31-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-02.jpg,아모레퍼시픽,999,19500,18900,아모레퍼시픽,한국,102,3000,1,100,,,"려 함빛모 샴푸, 린스 각 200ml, 미쟝센 데미지 샴푸, 린스 각 200ml, 해피바스 슈퍼베리에센스 바디클렌져 200g, 해피바스 로즈에센서 바디클렌져 200g, 해피바스 애플바닐라비누 80g, 메디안 검치약N 90g×2, 메디안 내츄럴 허브치약 90g×2, 메디안 내추럴프로폴리스 치약 90g×2, 메디안 치석케어 120g"
[아모레]고운7호,560,31-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-03.jpg,아모레퍼시픽,999,27500,26700,아모레퍼시픽,한국,102,3000,1,100,,,"려흑윤생기 샴푸, 린스 각 200ml, 미쟝센 극손상샴푸 200ml, 미쟝센 안티에이징샴푸200ml, 해피바스 로즈에센스바디워시 200g, 해피바스 슈퍼베리에센스바디워시 200g, 해피바스 올리브모이스춰바 80g, 메디안 프라그치약 90g×2, 메디안 검치약 90g×2, 송염 청아단치약 90g×2, 송염 고운단치약 90g×2, 메디안 덴탈IQ치석케어치약 90g"
[아모레]다화 S-8호,560,31-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-04.jpg,아모레퍼시픽,999,27500,26700,아모레퍼시픽,한국,102,3000,1,100,,,"려 함빛모샴푸 200ml×2, 려 함빛모린스 200ml×2, 려 자양윤모지성샴푸 200ml, 려 자양윤모두피모발팩 200ml, 해피바스 내추럴24핸드크림 75ml, 해피바스 애플바닐라비누 80g, 메디안 헬스케어치약시트러스민트향 90g×2, 메디안 F포레스트 90g×2, 송염 (뉴)청아단  90g×2, 메디안 F마린 90g×2"
[아모레]흑은모2종 Y-1호,560,31-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-05.jpg,아모레퍼시픽,999,13800,13400,아모레퍼시픽,한국,102,3000,1,100,,,"려 흑윤생기 운모 샴푸 400ml, 미니어처 30ml, 려 흑윤생기 운모린스 400ml, 미니어처 30ml"
[아모레]'려' 감사4종 Gift세트,560,31-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-06.jpg,아모레퍼시픽,999,20000,19500,아모레퍼시픽,한국,102,3000,1,100,,,"려 흑윤생기흑운모샴푸 400g, 려 흑윤생기함빛모샴푸 400g×2, 려 흑윤생기함빛모트리트먼트 180g"
[아모레]'려' 기프트1호,560,31-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-07.jpg,아모레퍼시픽,999,33300,32300,아모레퍼시픽,한국,102,3000,1,100,,,"려 자양윤모지성샴푸 400ml×2, 려 자양윤모지성 샴푸 100ml×2, 려 자양윤모두피모발팩 100ml, 려 진생보 토탈케어 팩 60ml, 려 자양윤모 지성체험파우치(샴푸 8gx3, 팩 8gx3)"
[아모레]해피바스 스페셜 4종,560,31-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-08.jpg,아모레퍼시픽,999,15700,15300,아모레퍼시픽,한국,102,3000,1,100,,,"내추럴24 모이스춰라이징로션 450ml, 내추럴 정말촉촉한타입바디워시 500g, 내추럴 휩클렌징 폼 175g, 내추럴24 핸드크림 60ml"
[아모레]프리미엄 2호,560,31-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//31-09.jpg,아모레퍼시픽,999,31000,30000,아모레퍼시픽,한국,102,3000,1,100,,,"려 흑운모샴푸 400g, 려 흑운모린스 400g, 미장센 데미지케어극손상샴푸 450ml, 미장센 데미지트리트먼트극손상 200ml, 미장센 데미지케어리페어헤어팩 50ml, 려 자양윤모샴푸 200ml, 려 자양윤모두피모발팩 200ml, 해피바스 로즈에센스릴랙싱바디워시 500g, 해피바스 내츄럴24모이스춰라이징로션 150ml, 해피바스 훼이셜요거트촉촉폼클렌징 120g, 해피바스 내츄럴24핸드크림 60ml"
